,lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,age_group,demo_watched_date,language,watched_percentage,jnr_sm_id,lead_stage,call_done_date,call_status,call_reason
0,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,lead,1/3/2022,successful,lead_introduction
1,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,lead,1/4/2022,successful,demo_schedule
2,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,awareness,1/5/2022,successful,post_demo_followup
3,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,awareness,1/6/2022,successful,followup_for_consideration
4,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,consideration,1/7/2022,successful,interested_for_conversion
5,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,consideration,1/7/2022,successful,followup_for_conversion
6,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,consideration,1/7/2022,successful,followup_for_conversion
7,USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,20-22,1/4/2022,Telugu,42,JNR1001MG,conversion,1/7/2022,successful,successful_conversion
8,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,20-22,1/7/2022,Telugu,81,JNR1001MG,lead,1/4/2022,unsuccessful,lead_introduction
9,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,20-22,1/7/2022,Telugu,81,JNR1001MG,lead,1/5/2022,successful,lead_introduction
10,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,20-22,1/7/2022,Telugu,81,JNR1001MG,lead,1/7/2022,successful,demo_schedule
11,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,20-22,1/7/2022,Telugu,81,JNR1001MG,awareness,1/8/2022,successful,post_demo_followup
12,USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,20-22,1/7/2022,Telugu,81,JNR1001MG,awareness,1/9/2022,successful,followup_for_consideration
13,USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,,1/2/2022,Telugu,35,JNR1001MG,lead,1/1/2022,successful,lead_introduction
14,USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,,1/2/2022,Telugu,35,JNR1001MG,lead,1/2/2022,successful,demo_schedule
15,USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,,1/2/2022,Telugu,35,JNR1001MG,awareness,1/3/2022,successful,post_demo_followup
16,USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,,1/3/2022,Hindi,38,JNR1001MG,lead,1/1/2022,unsuccessful,lead_introduction
17,USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,,1/3/2022,Hindi,38,JNR1001MG,lead,1/2/2022,successful,lead_introduction
18,USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,,1/3/2022,Hindi,38,JNR1001MG,lead,1/3/2022,successful,demo_schedule
19,USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,,1/3/2022,Hindi,38,JNR1001MG,awareness,1/4/2022,successful,post_demo_followup
20,USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,1/12/2022,Hindi,54,JNR1001MG,lead,1/10/2022,successful,lead_introduction
21,USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,1/12/2022,Hindi,54,JNR1001MG,lead,1/12/2022,successful,demo_schedule
22,USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,1/12/2022,Hindi,54,JNR1001MG,lead,1/13/2022,successful,demo_not_attended
23,USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,,1/12/2022,Hindi,54,JNR1001MG,awareness,1/13/2022,successful,post_demo_followup
24,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,lead,1/11/2022,successful,lead_introduction
25,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,lead,1/11/2022,successful,demo_schedule
26,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,awareness,1/12/2022,successful,post_demo_followup
27,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,awareness,1/13/2022,successful,followup_for_consideration
28,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,consideration,1/14/2022,successful,interested_for_conversion
29,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,consideration,1/14/2022,successful,followup_for_conversion
30,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,consideration,1/14/2022,successful,followup_for_conversion
31,USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,,1/11/2022,English,52,JNR1001MG,conversion,1/14/2022,successful,successful_conversion
32,USR1008,20,MALE,Hyderabad,B.Tech,Business,website,20-22,1/8/2022,Telugu,41,JNR1001MG,lead,1/8/2022,unsuccessful,lead_introduction
33,USR1008,20,MALE,Hyderabad,B.Tech,Business,website,20-22,1/8/2022,Telugu,41,JNR1001MG,lead,1/8/2022,successful,lead_introduction
34,USR1008,20,MALE,Hyderabad,B.Tech,Business,website,20-22,1/8/2022,Telugu,41,JNR1001MG,lead,1/8/2022,successful,demo_schedule
35,USR1008,20,MALE,Hyderabad,B.Tech,Business,website,20-22,1/8/2022,Telugu,41,JNR1001MG,awareness,1/8/2022,successful,post_demo_followup
36,USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,20-22,1/10/2022,Telugu,50,JNR1001MG,lead,1/8/2022,successful,lead_introduction
37,USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,20-22,1/10/2022,Telugu,50,JNR1001MG,lead,1/8/2022,successful,demo_schedule
38,USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,20-22,1/10/2022,Telugu,50,JNR1001MG,awareness,1/10/2022,successful,post_demo_followup
39,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,20-22,1/12/2022,Telugu,48,JNR1001MG,lead,1/8/2022,unsuccessful,lead_introduction
40,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,20-22,1/12/2022,Telugu,48,JNR1001MG,lead,1/9/2022,successful,lead_introduction
41,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,20-22,1/12/2022,Telugu,48,JNR1001MG,lead,1/11/2022,successful,demo_schedule
42,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,20-22,1/12/2022,Telugu,48,JNR1001MG,lead,1/14/2022,successful,demo_not_attended
43,USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,20-22,1/12/2022,Telugu,48,JNR1001MG,awareness,1/14/2022,successful,post_demo_followup
